id,gender,age,education,field_of_studies,is_studying,county,relative_wage,years_since_job_change,years_of_experience,hours_of_training,is_certified,size_of_company,type_of_company,willing_to_change_job
67,Unknown,30,higher_MSc,science,no,county_059,110.45,unknown,8,12,1,<10,startup_wo_funding,No
68,Male,44,higher_MSc,science,no,county_118,162.84,>4,>20,87,1,unknown,no_information,No
69,Male,28,higher_BSc,science,no,county_042,128.32,2,9,88,1,unknown,no_information,Yes
70,Unknown,44,higher_MSc,science,no,county_118,162.84,>4,>20,51,1,50-99,private_company,No
71,Male,34,secondary,no_information,no,county_121,157,>4,11,29,0,unknown,private_company,No
72,Male,29,higher_BSc,science,part_time,county_028,151.34,never_changed,6,102,1,500-999,private_company,No
73,Male,32,higher_BSc,science,no,county_006,122.31,>4,12,40,1,unknown,no_information,Yes
74,Male,23,primary,no_information,no,county_081,123.55,never_changed,3,31,0,unknown,private_company,No
75,Male,49,higher_BSc,science,no,county_118,162.84,>4,>20,44,1,50-99,other,No
76,Unknown,24,higher_BSc,science,no,county_059,110.45,1,<1,84,1,100-500,no_information,Yes
77,Unknown,40,no_information,no_information,no,county_110,163.9,1,16,111,1,unknown,no_information,No
78,Female,40,higher_BSc,arts,no,county_118,162.84,>4,16,35,0,unknown,no_information,Yes
79,Male,22,higher_BSc,science,part_time,county_118,162.84,1,2,55,1,10000+,private_company,No
80,Male,24,higher_BSc,science,no,county_074,162.84,1,3,17,1,10000+,private_company,No
81,Unknown,34,higher_MSc,science,no,county_119,142.31,1,12,111,1,5000-9999,private_company,No
82,Male,31,secondary,no_information,full_time,county_028,151.34,1,8,18,0,10-49,private_company,No
83,Unknown,26,higher_BSc,science,no,county_059,110.45,1,5,21,1,unknown,private_company,Yes
84,Male,45,higher_MSc,science,no,county_118,162.84,2,>20,66,1,unknown,no_information,No
85,Male,50,higher_BSc,arts,no,county_074,162.84,4,>20,103,1,unknown,no_information,Yes
86,Male,44,higher_MSc,arts,no,county_038,158.59,>4,>20,157,1,unknown,no_information,No
87,Male,23,no_information,no_information,no,county_110,163.9,never_changed,3,47,0,unknown,no_information,No
88,Male,31,secondary,no_information,full_time,county_029,141.95,1,7,17,1,50-99,private_company,No
89,Male,29,higher_BSc,science,no,county_059,110.45,1,7,4,1,1000-4999,private_company,Yes
90,Unknown,27,higher_BSc,science,part_time,county_059,110.45,4,7,34,1,10000+,private_company,Yes
91,Male,31,higher_MSc,science,part_time,county_112,97.35,3,9,10,1,50-99,private_company,Yes
92,Unknown,23,higher_BSc,other,no,county_075,161.07,2,3,24,0,<10,private_company,No
93,Male,47,higher_BSc,other,no,county_086,130.98,>4,>20,47,1,1000-4999,other,No
94,Male,30,higher_BSc,science,full_time,county_086,130.98,3,7,26,1,1000-4999,private_company,No
95,Female,39,higher_BSc,science,part_time,county_059,110.45,never_changed,18,38,1,10-49,no_information,No
96,Unknown,29,higher_BSc,no_information,no,county_118,162.84,>4,5,43,0,1000-4999,private_company,No
97,Unknown,20,secondary,no_information,full_time,county_041,157.53,never_changed,<1,21,0,unknown,no_information,No
98,Male,48,higher_BSc,science,no_information,county_118,162.84,3,>20,9,1,1000-4999,public_sector,No
99,Male,50,higher_BSc,arts,no,county_118,162.84,>4,>20,11,1,100-500,private_company,No
100,Male,23,higher_BSc,science,no,county_077,135.58,1,3,9,1,50-99,private_company,No
101,Unknown,24,higher_BSc,science,no,county_001,161.96,1,5,22,1,10-49,no_information,No
102,Male,48,higher_BSc,science,no,county_118,162.84,>4,>20,50,0,500-999,private_company,No
103,Male,36,higher_BSc,science,no,county_118,162.84,1,16,48,1,10000+,private_company,No
104,Male,27,higher_MSc,science,no,county_059,110.45,1,4,92,1,100-500,private_company,Yes
105,Male,45,Phd,science,no,county_118,162.84,1,>20,33,1,10000+,public_sector,No
106,Male,27,higher_BSc,science,full_time,county_059,110.45,2,7,12,1,100-500,private_company,No
107,Male,47,higher_BSc,science,no,county_118,162.84,>4,>20,30,1,unknown,no_information,Yes
108,Male,36,secondary,no_information,no,county_068,155.41,>4,16,32,0,100-500,startup_with_funding,No
109,Male,26,higher_BSc,science,no,county_021,102.48,1,5,16,1,10-49,startup_with_funding,Yes
110,Male,25,higher_BSc,science,no,county_074,162.84,1,3,97,0,unknown,no_information,Yes
111,Unknown,28,higher_BSc,science,no,county_068,155.41,1,5,28,0,unknown,no_information,No
112,Male,29,no_information,no_information,no,county_116,140.54,1,6,20,1,50-99,no_information,No
113,Male,47,higher_BSc,science,no,county_029,141.95,4,>20,94,0,10000+,private_company,No
114,Male,25,Phd,science,no,county_121,157,4,6,68,1,10-49,private_company,No
115,Other,35,higher_BSc,science,no,county_118,162.84,1,15,15,1,10-49,startup_with_funding,No
116,Male,42,higher_MSc,arts,no,county_118,162.84,>4,17,43,1,10000+,private_company,No
117,Male,30,higher_BSc,science,part_time,county_013,129.21,1,5,16,1,<10,private_company,No
118,Male,34,higher_BSc,science,no,county_075,161.07,1,9,91,1,50-99,private_company,No
119,Unknown,25,higher_BSc,science,full_time,county_093,158.77,never_changed,4,61,0,unknown,no_information,No
120,Unknown,23,no_information,no_information,no_information,county_059,110.45,1,1,62,0,unknown,no_information,Yes
121,Male,48,secondary,no_information,no,county_118,162.84,>4,>20,92,1,50-99,private_company,No
122,Male,25,higher_BSc,science,no,county_029,141.95,2,5,11,1,<10,startup_with_funding,No
123,Female,22,higher_BSc,science,no,county_059,110.45,1,<1,16,1,10-49,private_company,Yes
124,Male,27,higher_BSc,science,no,county_024,156.47,1,5,70,1,10000+,private_company,No
125,Male,33,higher_BSc,science,no,county_059,110.45,1,9,11,1,1000-4999,private_company,Yes
126,Male,24,higher_BSc,science,no,county_093,158.77,2,4,80,1,10000+,private_company,No
127,Unknown,45,higher_BSc,other,no,county_118,162.84,1,>20,51,1,unknown,no_information,Yes
128,Male,39,higher_BSc,science,full_time,county_059,110.45,>4,14,89,1,unknown,no_information,Yes
129,Male,34,higher_BSc,science,full_time,county_102,130.63,4,12,91,1,unknown,no_information,Yes
130,Male,27,secondary,no_information,full_time,county_099,93.28,never_changed,5,98,1,unknown,no_information,No
131,Unknown,29,higher_BSc,science,no,county_075,161.07,2,4,7,1,10-49,no_information,No
132,Male,47,higher_MSc,science,no,county_118,162.84,>4,>20,180,1,<10,private_company,No
133,Unknown,29,higher_BSc,science,full_time,county_118,162.84,1,5,54,1,1000-4999,NGO,No
134,Male,28,higher_MSc,science,full_time,county_110,163.9,1,6,16,0,unknown,no_information,No
135,Male,28,no_information,no_information,no,county_118,162.84,never_changed,4,40,1,unknown,no_information,No
136,Unknown,44,higher_BSc,science,no,county_058,159.12,>4,>20,94,1,1000-4999,private_company,No
137,Unknown,45,higher_MSc,science,no,county_074,162.84,2,>20,11,0,10000+,public_sector,Yes
138,Male,24,higher_BSc,science,no,county_059,110.45,1,3,42,1,100-500,private_company,No
139,Male,48,higher_BSc,science,no,county_118,162.84,2,>20,184,1,50-99,startup_with_funding,No
140,Male,34,higher_BSc,science,no,county_019,123.55,4,13,9,1,50-99,private_company,No
141,Male,27,higher_BSc,science,no,county_024,156.47,1,6,134,1,500-999,private_company,Yes
142,Male,27,higher_MSc,science,no,county_059,110.45,1,7,21,1,50-99,startup_wo_funding,Yes
143,Male,45,higher_BSc,science,no,county_110,163.9,>4,>20,25,1,unknown,no_information,No
144,Male,29,higher_BSc,science,part_time,county_118,162.84,>4,5,34,1,50-99,private_company,No
145,Male,26,higher_BSc,science,no,county_118,162.84,never_changed,2,80,0,unknown,no_information,No
146,Male,49,higher_BSc,science,no,county_075,161.07,>4,>20,62,1,100-500,private_company,No
147,Unknown,25,secondary,no_information,part_time,county_021,102.48,2,4,43,1,50-99,private_company,No
148,Male,45,higher_MSc,science,no,county_075,161.07,>4,>20,24,1,50-99,private_company,Yes
149,Male,29,higher_BSc,science,no,county_074,162.84,1,8,78,1,100-500,private_company,No
150,Male,34,higher_MSc,science,no,county_118,162.84,1,10,24,1,10000+,private_company,Yes
151,Unknown,30,higher_BSc,science,no,county_118,162.84,1,6,10,1,10000+,public_sector,No
152,Male,25,secondary,no_information,full_time,county_117,163.55,1,1,39,0,50-99,private_company,No
153,Male,48,higher_MSc,science,no,county_110,163.9,1,>20,16,1,50-99,private_company,No
154,Male,25,higher_BSc,science,no,county_062,120.71,1,1,114,1,10000+,private_company,No
155,Male,37,higher_BSc,science,no,county_032,161.6,>4,15,28,1,10000+,private_company,No
156,Male,49,Phd,science,no,county_118,162.84,>4,>20,25,1,unknown,no_information,No
157,Male,27,higher_BSc,science,part_time,county_046,137.35,3,5,98,1,50-99,private_company,No
158,Unknown,21,primary,no_information,no,county_092,147.97,never_changed,1,9,0,unknown,no_information,No
159,Male,26,higher_BSc,science,part_time,county_116,140.54,3,4,39,1,100-500,private_company,No
160,Male,23,higher_BSc,science,full_time,county_110,163.9,1,4,17,0,10000+,private_company,No
161,Male,27,higher_BSc,science,no,county_059,110.45,1,3,20,1,10000+,private_company,No
162,Male,23,higher_BSc,humanities,no,county_118,162.84,2,3,20,1,50-99,other,No
163,Male,45,higher_BSc,science,no,county_117,163.55,>4,>20,3,1,unknown,private_company,No
164,Male,36,higher_MSc,science,no,county_028,151.34,3,13,46,1,50-99,public_sector,No
165,Male,28,higher_BSc,science,no,county_123,149.92,2,3,76,1,50-99,private_company,No
166,Male,28,secondary,no_information,no,county_120,98.77,1,6,30,1,<10,private_company,No
167,Male,22,secondary,no_information,full_time,county_059,110.45,never_changed,1,112,0,unknown,no_information,Yes
168,Male,23,secondary,no_information,no_information,county_118,162.84,never_changed,1,61,0,unknown,no_information,Yes
169,Male,46,Phd,science,no,county_110,163.9,2,>20,140,1,100-500,private_company,No
170,Unknown,45,higher_MSc,science,no,county_118,162.84,>4,>20,91,0,10000+,private_company,No
171,Female,43,higher_MSc,science,no,county_058,159.12,>4,20,10,1,500-999,private_company,No
172,Male,46,higher_MSc,science,no,county_041,157.53,2,>20,8,1,50-99,private_company,No
173,Unknown,27,higher_BSc,science,no,county_118,162.84,2,7,19,1,100-500,other,No
174,Male,24,higher_BSc,science,no,county_118,162.84,2,3,76,1,100-500,private_company,No
175,Female,26,higher_BSc,science,no,county_059,110.45,3,3,69,0,100-500,private_company,Yes
176,Male,48,primary,no_information,no,county_118,162.84,2,>20,35,1,<10,startup_with_funding,No
177,Male,26,higher_MSc,science,no,county_059,110.45,1,6,83,1,10-49,startup_wo_funding,No
178,Male,39,higher_MSc,science,no,county_024,156.47,2,16,98,1,50-99,startup_with_funding,No
179,Unknown,25,higher_BSc,science,full_time,county_118,162.84,1,4,33,0,10000+,public_sector,No
180,Male,28,higher_BSc,science,no,county_001,161.96,1,9,25,1,unknown,no_information,No
181,Male,32,higher_BSc,science,part_time,county_020,166.2,3,10,68,1,<10,private_company,No
182,Unknown,27,higher_BSc,science,no,county_045,146.38,2,5,33,1,<10,private_company,Yes
183,Unknown,27,higher_BSc,science,part_time,county_059,110.45,3,3,210,1,10000+,no_information,No
184,Male,46,higher_BSc,science,no,county_032,161.6,>4,>20,13,1,10000+,private_company,No
185,Male,35,higher_BSc,science,no,county_118,162.84,1,16,58,1,50-99,private_company,No
186,Unknown,21,higher_BSc,science,no,county_059,110.45,1,<1,58,1,<10,other,Yes
187,Male,31,higher_MSc,science,no,county_028,151.34,1,12,19,1,500-999,private_company,No
188,Male,29,higher_BSc,science,full_time,county_076,149.21,1,9,40,1,50-99,startup_with_funding,No
189,Male,25,higher_BSc,science,full_time,county_093,158.77,never_changed,4,42,0,unknown,no_information,No
190,Unknown,29,higher_BSc,science,no,county_001,161.96,1,6,74,1,50-99,private_company,No
191,Unknown,21,higher_BSc,science,no,county_059,110.45,unknown,2,4,1,<10,startup_wo_funding,No
192,Male,27,higher_BSc,science,no,county_030,117.88,2,3,44,0,unknown,no_information,Yes
193,Male,37,higher_BSc,science,no,county_118,162.84,2,15,19,0,10000+,private_company,No
194,Male,28,secondary,no_information,no,county_110,163.9,1,5,62,0,50-99,private_company,No
195,Male,32,higher_BSc,science,part_time,county_025,123.55,1,11,17,1,50-99,no_information,No
196,Male,40,higher_BSc,science,no,county_093,158.77,2,16,68,1,10000+,private_company,No
197,Male,28,higher_BSc,science,part_time,county_110,163.9,never_changed,6,50,0,unknown,no_information,No
198,Male,46,higher_MSc,science,no,county_118,162.84,1,>20,68,1,100-500,no_information,No
199,Male,27,higher_BSc,science,full_time,county_059,110.45,never_changed,4,48,0,unknown,private_company,Yes
200,Female,32,higher_BSc,science,no,county_009,163.72,>4,10,162,1,1000-4999,private_company,Yes
201,Male,29,higher_BSc,science,full_time,county_118,162.84,1,7,4,0,unknown,no_information,Yes
202,Male,29,higher_BSc,science,full_time,county_059,110.45,>4,6,39,1,10-49,private_company,Yes
203,Male,50,higher_MSc,humanities,no,county_121,157,>4,>20,48,1,100-500,private_company,No
204,Male,28,higher_BSc,science,part_time,county_116,140.54,1,5,28,1,50-99,no_information,No
205,Male,27,higher_BSc,science,full_time,county_059,110.45,1,6,144,1,unknown,no_information,No
206,Male,34,higher_BSc,science,no,county_118,162.84,1,11,55,1,50-99,no_information,No
207,Male,45,higher_BSc,science,no,county_075,161.07,1,>20,61,1,50-99,private_company,Yes
208,Unknown,42,higher_MSc,no_information,part_time,county_045,146.38,>4,18,49,1,10000+,private_company,Yes
209,Male,41,higher_BSc,arts,no,county_118,162.84,3,16,8,1,50-99,private_company,No
210,Male,35,higher_MSc,science,no,county_118,162.84,3,13,266,1,1000-4999,NGO,No
211,Male,37,higher_BSc,science,no,county_040,134.87,>4,14,16,1,unknown,no_information,Yes
212,Male,26,higher_BSc,science,no,county_117,163.55,1,6,53,1,50-99,no_information,No
213,Male,26,higher_BSc,science,full_time,county_074,162.84,never_changed,3,54,0,unknown,no_information,Yes
214,Unknown,27,higher_BSc,science,full_time,county_118,162.84,never_changed,4,22,0,unknown,no_information,Yes
215,Male,23,primary,no_information,no,county_075,161.07,never_changed,3,48,0,unknown,no_information,No
216,Male,28,secondary,no_information,full_time,county_059,110.45,1,7,38,0,unknown,no_information,Yes
217,Male,27,higher_BSc,science,full_time,county_074,162.84,1,7,42,1,unknown,no_information,Yes
218,Unknown,45,higher_MSc,science,no,county_068,155.41,unknown,>20,19,1,50-99,startup_with_funding,No
219,Unknown,23,secondary,no_information,full_time,county_073,135.76,never_changed,4,32,0,unknown,no_information,No
220,Male,38,higher_BSc,science,no,county_074,162.84,>4,16,39,0,<10,private_company,No
221,Male,44,higher_MSc,humanities,no,county_118,162.84,>4,20,69,1,1000-4999,NGO,No
222,Unknown,47,higher_MSc,science,no,county_074,162.84,1,>20,63,1,<10,other,No
223,Male,26,higher_BSc,science,full_time,county_119,142.31,1,6,102,1,50-99,private_company,Yes
224,Unknown,48,higher_MSc,science,no,county_093,158.77,never_changed,>20,40,1,unknown,no_information,No
225,Unknown,44,higher_MSc,science,no,county_075,161.07,4,>20,65,1,100-500,NGO,Yes
226,Male,31,higher_BSc,science,no,county_053,166.2,1,11,96,1,50-99,private_company,No
227,Male,27,higher_MSc,science,part_time,county_019,123.55,3,7,56,1,unknown,no_information,Yes
228,Male,46,higher_BSc,science,no,county_075,161.07,1,>20,24,1,unknown,no_information,No
229,Male,38,higher_MSc,no_information,full_time,county_007,123.55,unknown,unknown,44,1,unknown,no_information,Yes
230,Male,46,Phd,science,no,county_119,142.31,>4,>20,100,1,10000+,private_company,No
231,Unknown,25,higher_BSc,science,no,county_059,110.45,1,3,156,1,10-49,private_company,Yes
232,Male,25,no_information,no_information,no_information,county_045,146.38,never_changed,5,214,0,unknown,no_information,No
233,Female,25,higher_BSc,science,full_time,county_109,139.65,never_changed,4,308,0,unknown,no_information,Yes
234,Unknown,26,higher_BSc,science,no,county_112,97.35,1,7,81,1,50-99,private_company,No
235,Male,39,no_information,no_information,full_time,county_074,162.84,1,15,119,1,unknown,no_information,No
236,Male,28,secondary,no_information,full_time,county_053,166.2,1,7,182,0,unknown,no_information,No
237,Male,35,higher_BSc,humanities,no,county_046,137.35,2,11,50,1,10-49,private_company,No
238,Male,38,higher_BSc,science,no,county_118,162.84,>4,15,30,1,10-49,other,No
239,Male,47,higher_BSc,science,no,county_032,161.6,3,>20,23,1,1000-4999,private_company,No
240,Male,41,higher_BSc,humanities,no,county_118,162.84,1,17,23,1,100-500,private_company,No
241,Male,29,higher_MSc,science,no,county_075,161.07,2,7,62,1,5000-9999,private_company,No
242,Male,24,higher_MSc,science,no,county_118,162.84,1,4,99,1,unknown,no_information,No
243,Male,31,higher_BSc,science,no,county_059,110.45,1,11,57,1,10000+,private_company,Yes
244,Unknown,36,primary,no_information,no,county_118,162.84,2,13,26,1,50-99,startup_wo_funding,No
245,Male,25,higher_BSc,science,no,county_118,162.84,>4,5,3,1,1000-4999,private_company,No
246,Male,35,higher_BSc,science,part_time,county_108,131.51,1,11,28,1,unknown,no_information,No
247,Male,22,higher_BSc,science,full_time,county_120,98.77,never_changed,3,24,0,unknown,no_information,No
248,Unknown,22,higher_BSc,science,part_time,county_112,97.35,never_changed,<1,20,0,unknown,no_information,Yes
249,Male,35,higher_BSc,science,full_time,county_110,163.9,4,14,91,0,unknown,no_information,No
250,Male,23,higher_BSc,science,full_time,county_118,162.84,1,4,131,1,50-99,private_company,No
251,Male,47,higher_BSc,science,no,county_118,162.84,1,>20,70,1,100-500,NGO,No
252,Female,33,higher_BSc,science,full_time,county_006,122.31,1,10,64,1,10-49,no_information,No
253,Male,27,higher_BSc,science,no,county_074,162.84,1,6,26,1,1000-4999,public_sector,No
254,Unknown,26,higher_BSc,science,no,county_059,110.45,2,6,105,1,1000-4999,private_company,No
255,Male,27,higher_BSc,science,part_time,county_082,121.95,1,6,106,1,<10,startup_wo_funding,No
256,Female,23,secondary,no_information,no_information,county_094,123.55,never_changed,3,35,0,unknown,no_information,No
257,Unknown,30,higher_MSc,science,no,county_046,137.35,never_changed,8,101,1,500-999,private_company,No
258,Unknown,28,higher_BSc,science,part_time,county_118,162.84,unknown,4,13,0,10000+,public_sector,No
259,Female,31,higher_BSc,science,part_time,county_074,162.84,2,8,23,1,unknown,no_information,Yes
260,Male,46,higher_MSc,science,no,county_118,162.84,>4,>20,9,1,10-49,private_company,No
261,Male,25,higher_BSc,science,no,county_093,158.77,3,5,30,1,<10,startup_with_funding,No
262,Male,28,higher_BSc,science,no,county_011,163.37,1,4,35,1,10-49,private_company,No
263,Male,32,higher_MSc,science,no,county_059,110.45,>4,9,96,1,100-500,private_company,No
264,Male,24,secondary,no_information,full_time,county_059,110.45,2,5,64,0,unknown,no_information,No
265,Male,46,higher_BSc,science,no,county_118,162.84,>4,>20,111,1,10000+,private_company,No
266,Female,27,higher_BSc,science,full_time,county_093,158.77,1,4,47,0,10000+,public_sector,No
267,Male,47,higher_BSc,science,no,county_110,163.9,2,>20,96,1,<10,startup_wo_funding,No
268,Unknown,25,Phd,other,part_time,county_059,110.45,unknown,4,8,1,50-99,private_company,Yes
269,Male,25,higher_BSc,science,full_time,county_081,123.55,never_changed,2,16,0,unknown,private_company,No
270,Unknown,34,higher_BSc,science,no,county_110,163.9,1,14,198,0,10-49,private_company,No
271,Male,26,higher_BSc,science,full_time,county_119,142.31,never_changed,4,54,0,unknown,no_information,No
272,Male,33,higher_BSc,science,no,county_118,162.84,>4,8,84,1,1000-4999,private_company,No
273,Male,26,higher_BSc,science,no,county_118,162.84,1,6,18,1,1000-4999,public_sector,No
274,Male,46,higher_BSc,science,no,county_059,110.45,>4,>20,52,1,50-99,private_company,No
275,Unknown,24,higher_BSc,science,full_time,county_059,110.45,unknown,2,43,1,10000+,private_company,Yes
276,Male,21,higher_MSc,science,no,county_118,162.84,1,1,22,1,100-500,private_company,No
277,Male,29,higher_BSc,science,no,county_074,162.84,1,9,20,1,50-99,startup_with_funding,No
278,Male,27,secondary,no_information,part_time,county_022,133.46,2,4,66,0,unknown,no_information,No
279,Female,24,higher_BSc,humanities,no,county_118,162.84,3,5,138,1,100-500,startup_with_funding,No
280,Unknown,21,secondary,no_information,full_time,county_059,110.45,never_changed,1,100,0,unknown,no_information,No
281,Male,31,no_information,no_information,no,county_110,163.9,never_changed,9,30,0,unknown,no_information,Yes
282,Male,26,secondary,no_information,no,county_074,162.84,1,5,133,1,50-99,no_information,No
283,Male,23,no_information,no_information,no_information,county_003,163.72,1,3,80,1,unknown,no_information,No
284,Unknown,26,higher_BSc,science,part_time,county_082,121.95,2,6,13,0,unknown,no_information,Yes
285,Male,40,higher_BSc,science,no,county_075,161.07,1,20,70,1,10000+,private_company,No
286,Male,40,higher_BSc,science,full_time,county_110,163.9,1,16,32,1,10000+,private_company,Yes
287,Male,25,higher_MSc,science,full_time,county_059,110.45,1,3,45,1,50-99,private_company,No
288,Male,31,higher_MSc,science,full_time,county_059,110.45,1,7,15,1,1000-4999,private_company,Yes
289,Male,46,higher_BSc,science,no,county_118,162.84,1,>20,28,1,1000-4999,private_company,No
290,Other,37,higher_MSc,science,no,county_028,151.34,1,16,2,1,50-99,private_company,No
291,Male,49,higher_BSc,science,no,county_118,162.84,1,>20,180,1,1000-4999,private_company,No
292,Male,36,higher_BSc,science,part_time,county_118,162.84,>4,16,90,1,10000+,private_company,No
293,Male,25,secondary,no_information,full_time,county_053,166.2,1,3,30,0,50-99,public_sector,No
294,Unknown,25,higher_BSc,science,full_time,county_059,110.45,unknown,1,131,1,1000-4999,private_company,No
295,Male,33,higher_BSc,science,no,county_041,157.53,>4,9,19,1,100-500,private_company,No
296,Male,44,higher_BSc,other,no,county_118,162.84,1,>20,9,0,50-99,private_company,No
